customer_id,gender,senior_citizen,tenure,contract_type,monthly_charges,total_charges,internet_service,streaming,security,tech_support,churn,tenure_group,high_monthly_charge,service_count,is_monthly_contract,churn_probability,risk_level,value_level,segment,recommended_action
8865-TNMNX,Male,0,10,One year,49.55,475.7,,0.0,0.0,0.0,0,6-12,0,0.0,0,0.10880345060555467,Low,Low,Low Risk - Low Value,No immediate action
9489-DEDVP,Female,0,70,Two year,69.2,4872.35,,1.0,1.0,0.0,0,,0,2.0,0,0.017117956757402655,Low,Low,Low Risk - Low Value,No immediate action
9867-JCZSP,Female,0,17,One year,20.75,418.25,0.0,,,,0,12-24,0,0.0,0,0.0906902956823603,Low,Low,Low Risk - Low Value,No immediate action
4671-VJLCL,Female,0,63,Two year,79.85,4861.45,,1.0,1.0,1.0,0,,1,3.0,0,0.06771085195889814,Low,High,Low Risk - High Value,Thank-you benefits
4080-IIARD,Female,0,13,Month-to-month,76.2,981.45,,1.0,1.0,1.0,0,12-24,1,3.0,1,0.5414560810836813,Medium,High,Medium Risk - High Value,Loyalty reward
3714-NTNFO,Female,0,49,Month-to-month,84.5,3906.7,,0.0,0.0,0.0,0,24+,1,0.0,1,0.3652550728724526,Medium,High,Medium Risk - High Value,Loyalty reward
5948-UJZLF,Male,0,2,Month-to-month,49.25,97.0,,0.0,0.0,0.0,0,0-6,0,0.0,1,0.3710534509607385,Medium,Low,Medium Risk - Low Value,
7760-OYPDY,Female,0,2,Month-to-month,80.65,144.15,,1.0,0.0,0.0,1,0-6,1,1.0,1,0.6677555038283068,High,High,High Risk - High Value,Personal call + customized discount
7639-LIAYI,Male,0,52,Two year,79.75,4217.8,,1.0,1.0,1.0,0,24+,1,3.0,0,0.09074001928080924,Low,High,Low Risk - High Value,Thank-you benefits
2954-PIBKO,Female,0,69,Two year,64.15,4254.1,,0.0,1.0,1.0,0,,0,2.0,0,0.01761083022129817,Low,Low,Low Risk - Low Value,No immediate action
8012-SOUDQ,Female,1,43,Month-to-month,90.25,3838.75,,1.0,0.0,0.0,0,24+,1,1.0,1,0.3807556680421418,Medium,High,Medium Risk - High Value,Loyalty reward
9420-LOJKX,Female,0,15,Month-to-month,99.1,1426.4,,1.0,1.0,0.0,1,12-24,1,2.0,1,0.5536603409031319,Medium,High,Medium Risk - High Value,Loyalty reward
6575-SUVOI,Female,1,25,Month-to-month,69.5,1752.65,,1.0,1.0,1.0,0,24+,0,3.0,1,0.18045950717411494,Low,Low,Low Risk - Low Value,No immediate action
7495-OOKFY,Female,1,8,Month-to-month,80.65,633.3,,0.0,0.0,0.0,1,6-12,1,0.0,1,0.6528897236788328,High,High,High Risk - High Value,Personal call + customized discount
4667-QONEA,Female,1,60,One year,74.85,4456.35,,0.0,1.0,1.0,0,24+,1,2.0,0,0.08101071042352916,Low,High,Low Risk - High Value,Thank-you benefits
1658-BYGOY,Male,1,18,Month-to-month,95.45,1752.55,,1.0,0.0,0.0,1,12-24,1,1.0,1,0.5586904030824995,Medium,High,Medium Risk - High Value,Loyalty reward
8769-KKTPH,Female,0,63,One year,99.65,6311.2,,1.0,1.0,0.0,0,,1,2.0,0,0.07478865453535698,Low,High,Low Risk - High Value,Thank-you benefits
5067-XJQFU,Male,1,66,One year,108.45,7076.35,,1.0,0.0,1.0,0,,1,2.0,0,0.06900860039213966,Low,High,Low Risk - High Value,Thank-you benefits
3957-SQXML,Female,0,34,Two year,24.95,894.3,0.0,,,,0,24+,0,0.0,0,0.0575230802744616,Low,Low,Low Risk - Low Value,No immediate action
5954-BDFSG,Female,0,72,Two year,107.5,7853.7,,1.0,0.0,1.0,0,,1,2.0,0,0.05867113449586433,Low,High,Low Risk - High Value,Thank-you benefits
0434-CSFON,Female,0,47,Month-to-month,100.5,4707.1,,1.0,0.0,0.0,0,24+,1,1.0,1,0.3539108222221873,Medium,High,Medium Risk - High Value,Loyalty reward
1215-FIGMP,Male,0,60,Month-to-month,89.9,5450.7,,1.0,0.0,0.0,0,24+,1,1.0,1,0.27340166436428287,Low,High,Low Risk - High Value,Thank-you benefits
0526-SXDJP,Male,0,72,Two year,42.1,2962.0,,0.0,1.0,0.0,0,,0,1.0,0,0.01796686509376597,Low,Low,Low Risk - Low Value,No immediate action
0557-ASKVU,Female,0,18,One year,54.4,957.1,,0.0,0.0,1.0,0,12-24,0,1.0,0,0.08008714607863539,Low,Low,Low Risk - Low Value,No immediate action
5698-BQJOH,Female,0,9,Month-to-month,94.4,857.25,,1.0,0.0,0.0,1,6-12,1,1.0,1,0.6214806362587277,High,High,High Risk - High Value,Personal call + customized discount
5122-CYFXA,Female,0,3,Month-to-month,75.3,244.1,,1.0,0.0,1.0,0,0-6,1,2.0,1,0.6369435671659145,High,High,High Risk - High Value,Personal call + customized discount
8627-ZYGSZ,Male,0,47,One year,78.9,3650.35,,0.0,0.0,0.0,0,24+,1,0.0,0,0.13716099420564773,Low,High,Low Risk - High Value,Thank-you benefits
3410-YOQBQ,Female,0,31,Two year,79.2,2497.2,,1.0,0.0,1.0,0,24+,1,2.0,0,0.16925004087019424,Low,High,Low Risk - High Value,Thank-you benefits
3170-NMYVV,Female,0,50,Two year,20.15,930.9,0.0,,,,0,24+,0,0.0,0,0.0370216763708853,Low,Low,Low Risk - Low Value,No immediate action
7410-OIEDU,Male,0,10,Month-to-month,79.85,887.35,,0.0,1.0,0.0,0,6-12,1,1.0,1,0.6146615824612685,High,High,High Risk - High Value,Personal call + customized discount
2273-QCKXA,Male,0,1,Month-to-month,49.05,49.05,,0.0,0.0,1.0,0,0-6,0,1.0,1,0.35300574832124104,Medium,Low,Medium Risk - Low Value,
0731-EBJQB,Female,0,52,One year,20.4,1090.65,0.0,,,,0,24+,0,0.0,0,0.03501612973233711,Low,Low,Low Risk - Low Value,No immediate action
1891-QRQSA,Male,1,64,Two year,111.6,7099.0,,1.0,1.0,1.0,0,,1,3.0,0,0.06590990363559035,Low,High,Low Risk - High Value,Thank-you benefits
8028-PNXHQ,Male,0,62,Two year,24.25,1424.6,0.0,,,,0,,0,0.0,0,0.02646324158916821,Low,Low,Low Risk - Low Value,No immediate action
5630-AHZIL,Female,0,3,Month-to-month,64.5,177.4,,0.0,1.0,1.0,0,0-6,0,2.0,1,0.3163344297653282,Medium,Low,Medium Risk - Low Value,
2673-CXQEU,Female,1,56,One year,110.5,6139.5,,1.0,1.0,0.0,0,24+,1,2.0,0,0.09004033334417716,Low,High,Low Risk - High Value,Thank-you benefits
6416-JNVRK,Female,0,46,One year,55.65,2688.85,,0.0,0.0,0.0,0,24+,0,0.0,0,0.04136890641197877,Low,Low,Low Risk - Low Value,No immediate action
5590-ZSKRV,Female,0,8,Month-to-month,54.65,482.25,,0.0,1.0,0.0,0,6-12,0,1.0,1,0.30830266413805163,Medium,Low,Medium Risk - Low Value,
0191-ZHSKZ,Male,1,30,Month-to-month,74.75,2111.3,,1.0,1.0,0.0,0,24+,1,2.0,1,0.4457535195362635,Medium,High,Medium Risk - High Value,Loyalty reward
3887-PBQAO,Female,0,45,One year,25.9,1216.6,0.0,,,,0,24+,0,0.0,0,0.0425298182606698,Low,Low,Low Risk - Low Value,No immediate action
5919-TMRGD,Female,0,1,Month-to-month,79.35,79.35,,1.0,0.0,0.0,1,0-6,1,1.0,1,0.6741331094298597,High,High,High Risk - High Value,Personal call + customized discount
8108-UXRQN,Female,0,11,Month-to-month,50.55,565.35,,1.0,1.0,0.0,0,6-12,0,2.0,1,0.26859356793803546,Low,Low,Low Risk - Low Value,No immediate action
9191-MYQKX,Female,0,7,Month-to-month,75.15,496.9,,0.0,0.0,0.0,1,6-12,1,0.0,1,0.659407137852051,High,High,High Risk - High Value,Personal call + customized discount
9919-YLNNG,Female,0,42,Month-to-month,103.8,4327.5,,1.0,0.0,1.0,0,24+,1,2.0,1,0.3625080530297495,Medium,High,Medium Risk - High Value,Loyalty reward
0318-ZOPWS,Female,0,49,Two year,20.15,973.35,0.0,,,,0,24+,0,0.0,0,0.0380654385461893,Low,Low,Low Risk - Low Value,No immediate action
4445-ZJNMU,Male,0,9,Month-to-month,99.3,918.75,,1.0,0.0,0.0,0,6-12,1,1.0,1,0.6214806362587277,High,High,High Risk - High Value,Personal call + customized discount
4808-YNLEU,Female,0,35,One year,62.15,2215.45,,1.0,1.0,0.0,0,24+,0,2.0,0,0.04568194313221137,Low,Low,Low Risk - Low Value,No immediate action
1862-QRWPE,Female,0,48,Two year,20.65,1057.0,0.0,,,,0,24+,0,0.0,0,0.039137431814901376,Low,Low,Low Risk - Low Value,No immediate action
2796-NNUFI,Female,0,46,Two year,19.95,927.1,0.0,,,,0,24+,0,0.0,0,0.04136890641197877,Low,Low,Low Risk - Low Value,No immediate action
3016-KSVCP,Male,0,29,Month-to-month,33.75,1009.25,,1.0,0.0,0.0,0,24+,0,1.0,1,0.195492727886457,Low,Low,Low Risk - Low Value,No immediate action
4767-HZZHQ,Male,0,30,Month-to-month,82.05,2570.2,,0.0,0.0,0.0,0,24+,1,0.0,1,0.49905944088421794,Medium,High,Medium Risk - High Value,Loyalty reward
2424-WVHPL,Male,1,1,Month-to-month,74.7,74.7,,0.0,0.0,1.0,0,0-6,1,1.0,1,0.6741331094298597,High,High,High Risk - High Value,Personal call + customized discount
7233-PAHHL,Male,0,66,Two year,84.0,5714.25,,1.0,1.0,1.0,0,,1,3.0,0,0.0624408903248133,Low,High,Low Risk - High Value,Thank-you benefits
6067-NGCEU,Female,0,65,Month-to-month,111.05,7107.0,,1.0,1.0,0.0,0,,1,2.0,1,0.22637216352466888,Low,High,Low Risk - High Value,Thank-you benefits
9848-JQJTX,Male,0,72,Two year,100.9,7459.05,,1.0,0.0,0.0,0,,1,1.0,0,0.06486976574433419,Low,High,Low Risk - High Value,Thank-you benefits
8637-XJIVR,Female,0,12,Month-to-month,78.95,927.35,,0.0,1.0,0.0,1,6-12,1,1.0,1,0.60088995191904,High,High,High Risk - High Value,Personal call + customized discount
9803-FTJCG,Male,0,71,One year,66.85,4748.7,,0.0,1.0,1.0,0,,0,2.0,0,0.01663864369131703,Low,Low,Low Risk - Low Value,No immediate action
0278-YXOOG,Male,0,5,Month-to-month,21.05,113.85,0.0,,,,1,0-6,0,0.0,1,0.3510645701538416,Medium,Low,Medium Risk - Low Value,
3212-KXOCR,Male,0,52,Two year,21.0,1107.2,0.0,,,,0,24+,0,0.0,0,0.03501612973233711,Low,Low,Low Risk - Low Value,No immediate action
4598-XLKNJ,Female,1,25,Month-to-month,98.5,2514.5,,1.0,0.0,0.0,1,24+,1,1.0,1,0.5084080516267818,Medium,High,Medium Risk - High Value,Loyalty reward
6380-ARCEH,Male,0,1,Month-to-month,20.2,20.2,0.0,,,,0,0-6,0,0.0,1,0.37781977241071196,Medium,Low,Medium Risk - Low Value,
3679-XASPY,Female,0,1,Month-to-month,19.45,19.45,0.0,,,,0,0-6,0,0.0,1,0.37781977241071196,Medium,Low,Medium Risk - Low Value,
7123-WQUHX,Male,0,38,One year,95.0,3605.6,,1.0,0.0,1.0,0,24+,1,2.0,0,0.14268510585256539,Low,High,Low Risk - High Value,Thank-you benefits
5386-THSLQ,Female,1,66,One year,45.55,3027.25,,1.0,0.0,0.0,0,,0,1.0,0,0.02129474894324476,Low,Low,Low Risk - Low Value,No immediate action
3192-NQECA,Male,0,68,Two year,110.0,7611.85,,1.0,0.0,1.0,1,,1,2.0,0,0.0653879112047717,Low,High,Low Risk - High Value,Thank-you benefits
6180-YBIQI,Male,0,5,Month-to-month,24.3,100.2,,0.0,0.0,0.0,0,0-6,0,0.0,1,0.3510645701538416,Medium,Low,Medium Risk - Low Value,
6728-DKUCO,Female,0,72,One year,104.15,7303.05,,1.0,1.0,0.0,0,,1,2.0,0,0.05867113449586433,Low,High,Low Risk - High Value,Thank-you benefits
9750-BOOHV,Female,0,32,One year,30.15,927.65,,0.0,1.0,0.0,0,24+,0,1.0,0,0.054909700473220316,Low,Low,Low Risk - Low Value,No immediate action
8597-CWYHH,Male,0,43,One year,94.35,3921.3,,1.0,0.0,0.0,0,24+,1,1.0,0,0.13817124587807697,Low,High,Low Risk - High Value,Thank-you benefits
2848-YXSMW,Male,0,72,Two year,19.4,1363.25,0.0,,,,0,,0,0.0,0,0.019956241626521848,Low,Low,Low Risk - Low Value,No immediate action
0486-HECZI,Male,0,55,Month-to-month,96.75,5238.9,,1.0,1.0,0.0,1,24+,1,2.0,1,0.2808934345749276,Low,High,Low Risk - High Value,Thank-you benefits
4549-ZDQYY,Female,0,52,One year,57.95,3042.25,,0.0,1.0,1.0,0,24+,0,2.0,0,0.028459976832443574,Low,Low,Low Risk - Low Value,No immediate action
5712-AHQNN,Female,0,43,Month-to-month,91.65,3954.1,,1.0,0.0,0.0,0,24+,1,1.0,1,0.3807556680421418,Medium,High,Medium Risk - High Value,Loyalty reward
4846-WHAFZ,Female,1,37,Month-to-month,76.5,2868.15,,0.0,0.0,0.0,1,24+,1,0.0,1,0.4486873676306847,Medium,High,Medium Risk - High Value,Loyalty reward
5256-SKJGO,Female,0,64,Two year,54.6,3423.5,,1.0,0.0,1.0,0,,0,2.0,0,0.020291851936662855,Low,Low,Low Risk - Low Value,No immediate action
3071-VBYPO,Male,0,3,Month-to-month,89.85,248.4,,1.0,1.0,0.0,0,0-6,1,2.0,1,0.6369435671659145,High,High,High Risk - High Value,Personal call + customized discount
9560-BBZXK,Female,0,36,Two year,31.05,1126.35,,0.0,1.0,0.0,0,24+,0,1.0,0,0.04921259097134716,Low,Low,Low Risk - Low Value,No immediate action
5299-RULOA,Female,0,10,Month-to-month,100.25,1064.65,,1.0,1.0,0.0,1,6-12,1,2.0,1,0.589018486839204,Medium,High,Medium Risk - High Value,Loyalty reward
8402-OOOHJ,Female,0,41,Two year,20.65,835.15,0.0,,,,0,24+,0,0.0,0,0.04749193774977327,Low,Low,Low Risk - Low Value,No immediate action
9445-ZUEQE,Male,0,27,Month-to-month,85.2,2151.6,,0.0,0.0,1.0,0,24+,1,1.0,1,0.49396532029246903,Medium,High,Medium Risk - High Value,Loyalty reward
1091-SOZGA,Female,0,56,One year,99.8,5515.45,,1.0,0.0,0.0,0,24+,1,1.0,0,0.09920386375470171,Low,High,Low Risk - High Value,Thank-you benefits
2928-HLDBA,Female,0,6,Month-to-month,20.7,112.75,0.0,,,,0,0-6,0,0.0,1,0.34451208726750715,Medium,Low,Medium Risk - Low Value,
0404-SWRVG,Male,0,3,Month-to-month,74.4,229.55,,0.0,0.0,0.0,1,0-6,1,0.0,1,0.6848613871756425,High,High,High Risk - High Value,Personal call + customized discount
6497-TILVL,Female,0,7,Month-to-month,50.7,350.35,,0.0,1.0,0.0,0,6-12,0,1.0,1,0.31449688456560504,Medium,Low,Medium Risk - Low Value,
7219-TLZHO,Female,0,4,Month-to-month,20.85,62.9,0.0,,,,0,0-6,0,0.0,1,0.3576736754169115,Medium,Low,Medium Risk - Low Value,
4622-YNKIJ,Male,0,33,Two year,88.95,3027.65,,1.0,1.0,1.0,0,24+,1,3.0,0,0.1473212201779774,Low,High,Low Risk - High Value,Thank-you benefits
4412-YLTKF,Female,1,27,Month-to-month,78.05,2135.5,,0.0,0.0,0.0,1,24+,1,0.0,1,0.520713304013408,Medium,High,Medium Risk - High Value,Loyalty reward
6734-PSBAW,Male,0,72,Two year,23.55,1723.95,0.0,,,,0,,0,0.0,0,0.019956241626521848,Low,Low,Low Risk - Low Value,No immediate action
3930-ZGWVE,Male,0,1,Month-to-month,19.75,19.75,0.0,,,,0,0-6,0,0.0,1,0.37781977241071196,Medium,Low,Medium Risk - Low Value,
2639-UGMAZ,Male,1,71,One year,56.45,3985.35,,1.0,1.0,0.0,0,,0,2.0,0,0.01663864369131703,Low,Low,Low Risk - Low Value,No immediate action
2876-GZYZC,Female,0,13,Month-to-month,85.95,1215.65,,0.0,0.0,0.0,0,12-24,1,0.0,1,0.6194766671233792,High,High,High Risk - High Value,Personal call + customized discount
6207-WIOLX,Female,0,25,Month-to-month,58.6,1502.65,,1.0,1.0,0.0,1,24+,0,2.0,1,0.19683460753880697,Low,Low,Low Risk - Low Value,No immediate action
8587-XYZSF,Male,0,67,Two year,50.55,3260.1,,0.0,0.0,1.0,0,,0,1.0,0,0.020700946384617006,Low,Low,Low Risk - Low Value,No immediate action
3091-FYHKI,Male,0,1,Month-to-month,35.45,35.45,,0.0,0.0,0.0,1,0-6,0,0.0,1,0.37781977241071196,Medium,Low,Medium Risk - Low Value,
2372-HWUHI,Male,0,2,Month-to-month,44.35,81.25,,0.0,0.0,0.0,1,0-6,0,0.0,1,0.3710534509607385,Medium,Low,Medium Risk - Low Value,
7799-LGRDP,Female,0,43,Two year,25.7,1188.2,0.0,,,,0,24+,0,0.0,0,0.04494566688435613,Low,Low,Low Risk - Low Value,No immediate action
7850-VWJUU,Female,0,23,Month-to-month,75.0,1778.5,,0.0,1.0,0.0,0,12-24,1,1.0,1,0.5228367617662076,Medium,High,Medium Risk - High Value,Loyalty reward
3774-VBNXY,Female,0,64,Two year,20.2,1277.75,0.0,,,,0,,0,0.0,0,0.025014810988059542,Low,Low,Low Risk - Low Value,No immediate action
6217-KDYWC,Male,0,57,Two year,19.6,1170.55,0.0,,,,0,24+,0,0.0,0,0.030450156468538183,Low,Low,Low Risk - Low Value,No immediate action
0390-DCFDQ,Female,1,1,Month-to-month,70.45,70.45,,0.0,0.0,0.0,1,0-6,1,0.0,1,0.697195641935318,High,High,High Risk - High Value,Personal call + customized discount
3146-MSEGF,Female,1,72,Two year,88.05,6425.65,,1.0,1.0,1.0,0,,1,3.0,0,0.05303122362252519,Low,High,Low Risk - High Value,Thank-you benefits
4080-OGPJL,Female,0,8,Month-to-month,71.15,563.65,,0.0,1.0,1.0,1,6-12,1,2.0,1,0.6029290636149017,High,High,High Risk - High Value,Personal call + customized discount
1095-WGNGG,Female,0,61,Two year,101.05,5971.25,,1.0,0.0,0.0,0,,1,1.0,0,0.08702284594464242,Low,High,Low Risk - High Value,Thank-you benefits
2636-SJDOU,Male,0,64,One year,84.3,5289.05,,0.0,1.0,0.0,0,,1,1.0,0,0.08037941410028797,Low,High,Low Risk - High Value,Thank-you benefits
1131-QQZEB,Male,1,71,Two year,23.95,1756.2,0.0,,,,0,,0,0.0,0,0.02052913028358305,Low,Low,Low Risk - Low Value,No immediate action
5716-EZXZN,Female,0,65,Two year,99.05,6416.7,,1.0,1.0,1.0,0,,1,3.0,0,0.06415356006696397,Low,High,Low Risk - High Value,Thank-you benefits
6837-BJYDQ,Male,0,3,One year,19.6,61.35,0.0,,,,0,0-6,0,0.0,0,0.13001699442670614,Low,Low,Low Risk - Low Value,No immediate action
2135-RXIHG,Male,0,1,Month-to-month,45.65,45.65,,0.0,0.0,0.0,1,0-6,0,0.0,1,0.37781977241071196,Medium,Low,Medium Risk - Low Value,
6440-DKQGE,Male,0,30,One year,64.5,1929.95,,1.0,0.0,0.0,0,24+,0,1.0,0,0.05798618304636746,Low,Low,Low Risk - Low Value,No immediate action
3466-BYAVD,Male,0,15,Month-to-month,69.5,1071.4,,0.0,0.0,1.0,0,12-24,0,1.0,1,0.26692506831978513,Low,Low,Low Risk - Low Value,No immediate action
3780-YVMFA,Female,0,8,Month-to-month,68.55,564.35,,1.0,0.0,1.0,0,6-12,0,2.0,1,0.28595591260299574,Low,Low,Low Risk - Low Value,No immediate action
3874-EQOEP,Male,0,7,Month-to-month,95.0,655.5,,1.0,0.0,0.0,1,6-12,1,1.0,1,0.6349733793528034,High,High,High Risk - High Value,Personal call + customized discount
1679-JRFBR,Female,0,70,One year,108.15,7930.55,,1.0,1.0,0.0,0,,1,2.0,0,0.061944549803260265,Low,High,Low Risk - High Value,Thank-you benefits
9073-ZZIAY,Male,0,62,Two year,86.1,5215.25,,1.0,1.0,1.0,0,,1,3.0,0,0.06955734568093384,Low,High,Low Risk - High Value,Thank-you benefits
3077-RSNTJ,Female,0,6,Month-to-month,19.7,113.5,0.0,,,,0,0-6,0,0.0,1,0.34451208726750715,Medium,Low,Medium Risk - Low Value,
6551-GNYDG,Female,0,14,Month-to-month,80.9,1152.8,,0.0,0.0,0.0,0,12-24,1,0.0,1,0.6126440130856198,High,High,High Risk - High Value,Personal call + customized discount
9167-APMXZ,Female,0,22,Month-to-month,84.15,1821.95,,1.0,0.0,0.0,0,12-24,1,1.0,1,0.5300383531950449,Medium,High,Medium Risk - High Value,Loyalty reward
2749-CTKAJ,Male,0,22,One year,20.15,419.9,0.0,,,,0,12-24,0,0.0,0,0.07946242454902427,Low,Low,Low Risk - Low Value,No immediate action
